교통약자이동지원센터명,소재지도로명주소,소재지지번주소,위도,경도,보유차량대수,보유차량종류,슬로프형휠체어차량대수,리프트형휠체어차량대수,예약접수전화번호,예약접수인터넷주소,앱서비스명,평일예약접수운영시작시각,평일예약접수운영종료시각,주말예약접수운영시작시각,주말예약접수운영종료시각,차량평일운행시작시각,차량평일운행종료시각,차량주말운행시작시각,차량주말운행종료시각,사전예약신청기간,차량이용제한사항,차량관내운행지역,차량관외운행지역,차량이용대상,차량이용요금,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
대전교통약자이동지원센터,대전광역시 중구 대종로373,대전광역시 중구 부사동 209-1,36.317337,127.4280138,86,특장차(특별교통수단),81,5,042-612-1010,www.djcall.or.kr,대전교통약자이동지원센터,6:00,11:00,7:00,21:30,6:00,23:00,7:00,22:00,바로콜방식(야간차량만 당일에 예약),"1개월의 범위 내에서 이용 제한+차량 도착 후 이용을 취소한 경우가 월 3회 이상인 경우+차량 배차 후 취소한 경우가 월 6회 이상인 경우+상담원, 운전원에게 폭행, 폭언, 성추행, 성희롱 등의 행위를 한 경우+운전에 방해를 준 적이 있는 이용대상자로서 상담원 또는 운전원이 보호자의 동승이 필요하다고 요구 했음에도 동승하지 않은 경우+중도에 보호자만 개별적으로 탑승하거나 하차하는 경우+콜센터에 이용신청 없이 운전원에게 직접 연락하여 차량을 이용",대전 전지역,공주+논산+계룡+청주+금산+옥천+세종,보행상장애인으로서 장애의 정도가 심한 사람+휠체어를 이용하는 65세 이상 노약자+대전광역시에 주민등록을 둔 임산부(임신 중이거나 출산 후 6개월 미만)+일시적 휠체어 이용자,"요금산정방식: 시간거리요금 병산제 / 기본요금 3km 1,000원 / 440m당 100원, 107초당 100원",대전복지재단,042-331-8905,2021.10.26,6300000,대전광역시
경상남도특별교통수단콜센터,경상남도 창원시 의창구 우곡로 209(명서동),경상남도 창원시 의창구 명서동 209-3,35.2396723,128.6475949,327,"스타렉스, 카니발",186,141,1566-4488,없음,,21:00,23:59,21:00,23:59,0:00,23:59,0:00,23:59,1일,,관내,경남 전역,1~2급+65세 이상 노약자+임산부,관내 시내버스요금의 2배 이내,경상남도,055-211-4385,2021.9.30,6480000,경상남도
경북광역이동지원센터,경상북도 구미시 산책길 33-4,경상북도 구미시 원평동 468,36.12375,128.332153,17,스타렉스+카니발,17,0,1899-7770,예약안됨,,0:00,0:00,0:00,0:00,8:00,20:00,8:00,18:00,이용일3일전~1일전까지,,구미시전역,경북 내+대구광역시+김천구미KTX역(병원목적시),심한장애중 보행상장애인+임산부+65세이상(대중교통이용어렵다는 진단서제출),"기본1,300원추가1km당300원",구미시청,054-480-2906,2021.10.27,5080000,경상북도 구미시
영동군 지체장애인협회,충청북도 영동군 영동읍 반곡동길 8,,36.16913213,127.7758462,2,그랜드 스타렉스,0,2,043-744-2220,해당없음,해당없음,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,연중,해당없음,관내 전체지역,"대전, 김천 청주, 무주",등록된장애인(보행장애),요금 기준표 참고,영동군 지체장애인협회,043-744-2220,2021.10.20,4440000,충청북도 영동군
영동군 생활이동지원센터,충청북도 영동군 영동읍 반곡동길 8,,36.16913213,127.7758462,1,그랜드 스타렉스,1,0,043-743-7803,해당없음,해당없음,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,연중,해당없음,관내 전체지역,"대전, 김천 청주, 무주",등록된장애인(시각장애),요금 기준표 참고,영동군 생활이동지원센터,043-743-7803,2021.10.20,4440000,충청북도 영동군
동해시교통약자이동지원센터,강원도 동해시 송정로 34,강원도 동해시 송정동 834-1,37.49705665,129.1266705,9,카니발,8,1,1577-2014,해당없음,즉시콜,7:00,18:00,7:00,18:00,7:00,23:59,7:00,23:59,7일,,동해시,강원도 내,보생상 심한 장애인으로 대중교통 이용이 어려운자+65세이상+임산부+일시적 휠체어 이용자로 대중교통 이용이 어려운자 등,"기본 4km까지 1,100원+4km 초과부터 km당 100원 추가+관외이동 시 대기료 1시간까지 무료+초과 시 30분 당 2,000원",강원도 동해시,033-521-0995,2021.10.22,4210000,강원도 동해시
장수군 이동지원센터,전라북도 장수군 장수읍 신천로 79,전라북도 장수군 장수읍 노하리 376,35.65392867,127.517936,3,카니발,3,0,063-227-0002,http://www.0632270002.com/view/index.do,전라북도 광역이동지원센터 승객용앱,0:00,23:59,0:00,23:59,9:00,23:59,9:00,23:59,7일 전,○ 당일 즉시 이용고객 또는 예약자로서 차량 도착 후 이용 취소한 자 : 당일 이용제한○차량 도착 후 10분 이내에 승차하지 않은 경우가 3회 이상인 자 : 10일 이용제한 ○ 예약시간으로부터 1시간 이내 예약취소가 3회 이상인 자 : 1개월 이용제한○ 이용신청 없이 운전원과 직접 연락하여 차량을 이용한 자 : 1개월 이용제한 ○무임승차가 2회 이상인 자 : 1개월 이용제한 ○ 이용객과 동반할 목적이 아닌 일반인의 동승 및 중도 하차 요구자 :,전 지역,전국,"○ 장애의 정도가 ’’심한 장애인’’ 중 대중교통 이용이 어려운 자(보행상 장애인)○ 65세 이상으로 대중교통 이용이 어려운 자 ○ 대중교통 이용이 어려운 임산부, 일시적 휠체어 이용자○이용대상자를 동반하는 가족 및 보호자","○권역내 - 기본요금 700원(2km) , 주행요금 100원(km당)/ 최대 2,000원 부과○권역외 - 기본요금 700원(2km) , 주행요금 100원(km당) / 최대 시외버스 시외버스 요금 2배 부과",장수군청,063-350-2567,2021.8.26,4750000,전라북도 장수군
해남군교통약자이동지원센터,전라남도 해남군 해남읍 중앙1로 40,전라남도 해남군 해남읍 구교리 423-5,34.57099,126.605043,7,카니발,7,0,1899-1110,없음,없음,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,1일전,없음,해남군,광주광역시+전남전지역,대중교통 이용이 어려운 보행상 장애인,기본요금 2km까지 500원+이후요금1km당 100원 / 시내외 버스요금 상한,해남군,061-530-5369,2021.8.1,4930000,전라남도 해남군
홍성군장애인생활이동지원센터,충청남도 홍성군 홍성읍 조양로33번길 17,충청남도 홍성군 홍성읍 옥암리 62-8,36.59770889,126.6558164,9,승합차,0,0,041-633-6315,-,,8:00,18:00,0:00,0:00,8:00,20:00,9:00,18:00,"관내:1일전, 관외:3일전",,홍성군전지역,충남지역,홍성군등록장애인,차량이용요금표 기준,홍성군장애인생활이동지원센터,041-631-2616,2021.7.31,4600000,충청남도 홍성군
서산시교통약자이동지원센터,"충청남도 서산시 안견로 252, 4층","충청남도 서산시 동문동 985-1 ,4층",36.77801054,126.4554934,981,스타렉스(7대)카니발(2대),9,0,1644-5588,전화예약 및 앱예약,충남 광역이동지원센터 이용자용 앱,8:00,19:00,9:00,13:00,8:00,19:00,9:00,13:00,관내: 즉시관외: 7~2일전,"1. 폭언, 폭행,성희롱 등으로 피해를 가한 경우2. 가족 또는 보호자인 동반자가 1인을 초과한 경우",서산관내 전부,"충청남도 내 및 서울,인천 경기 대학병원","1. 「장애인복지법 시행규칙」제28조제1항에 따른 보행상의 장애인으로서 (장애의 정도가 심한 장애인) 버스,지하철 등의 이용이 어려운 사람2. 65세 이상의 사람으로서 버스, 지하철 등의 이용이 어려운사람3.임산부4.일시적으로 보장구를 이용하는 등 대중교통수단을 이용하기 어려운사람","1. 관내기본료: 1,400원(2km)/km당 130원(최대 요금: 2,800원)2. 관외km당 260원(대기료 2,000원/30분당)",서산시교통약자 이동지원센터충남 광역 이동지원센터,041-665-1111,2021.7.19,4530000,충청남도 서산시
교통약자이동지원센터,전라남도 순천시 용당둑길 127,전라남도 순천시 조곡동 666-1,34.9602261,127.4895347,22,"그랜드카니발(21), 스타렉스(1)",21,1,061-751-8181,-,전남광역콜 앱,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,1일전,,순천시 일원,"광주, 전남권","1.「장애인복지법 시행규칙」제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표 1에 따른 장애의 정도가 심한 장애인으로서 버스·지하철 등의 이용이 어려운 사람2. 65세 이상의 사람으로서 버스 등의 이용이 어려운 사람3.「국가유공자 등 예우 및 지원에 관한 법률 시행령」별표 3에 따른 상이등급에 해당하는 자 중 2급 이상의 상이등급에 해당하는 사람으로서 버스 등의 이용이 어려운 사람4. 임산부, 사고·질병 등으로 인한 일시적 장애로 버스 등의 이용이 어려운 사람5. 제1호부터 제4호까지에 해당하는 사람을 동반하는 가족 및 보호자(2인 이내)","1. 기본요금(2km까지) : 500원2. 이후요금(1km마다) : 100원 ※ 상한액 : (관내) 시내버스 요금, (관외) 시외버스 요금3. 할증요금(00:00~04:00) : 100할증 ※ 상한액 : (관내) 시내버스 요금 2배, (관외) 시외버스 요금 2배",순천시 교통과,061-749-5900,2021.7.31,4820000,전라남도 순천시
강원도교통약자광역이동지원센터,강원도 춘천시 중앙로1,강원도 춘천시 봉의동 15,37.88007265,127.7279085,4,카니발,4,4,1577-2014,http://call.gwd.go.kr/main.do,,9:00,18:00,9:00,18:00,9:00,18:00,0:00,0:00,7일,관외는 병원목적,태백시,강원도,1. 「장애인복지법 시행규칙」제2조제1항에 따라 제1급 또는 제2급 장애인으로서 버스 등의 이용이 어려운 자 <개정 2013.07.05>2. 65세 이상의 자로서 버스 등의 이용이 어려운 자3. 일시적으로 휠체어를 이용하는 자로서 버스 등의 이용이 어려운 자4. 제1호부터 제3호까지 해당하는 교통약자를 동반하는 가족 및 보호자5. 그 밖에 특별교통수단이 필요하다고 인정되는 사람,1. 관내요금은 「여객자동차 운수사업법 시행령」제3조제2호다목에 따른 일반택시요금의 100분의 50에 해당하는 금액 이하로 한다.2. 관외요금은 해당구간의 시외버스요금의 2배를 초과할 수 없다.,태백시청,033-553-1112,2021.7.28,4220000,강원도 태백시
과천시교통약자이동지원센터,"경기도 과천시 문원로 40, 113호","경기도 과천시 문원동 31-3, 113호",37.4288073,127.0020101,6,카니발,6,0,02-502-9418,없음,없음,9:00,18:00,0:00,0:00,8:00,19:00,9:00,18:00,이용일자를 기준으로 7일전부터 1일전까지,-,과천시 전지역,"1,2차병원 및 병원이외목적 : 인접 시·군 지역(과천시청기준 반경15Km이내)  , 3차병원,환승목적 : 서울, 경기","보행상장애인기준표상 심한 정도, 65세 이상 노인장기요양 1~3급, 임산부(임산부수첩), 그외 대중교통이용이 어렵다고 증빙자료를 제출한 장애인, 고령자",유료도로 통행료 및 주차요금은 이용자 부담,경기도 과천시,02-3677-2282,2021.7.29,3970000,경기도 과천시
정읍시 행복콜택시,전라북도 정읍시 수성5로 41-11,전라북도 정읍시 수성동 1013-7,35.58500364,126.8606847,12,그랜드스타렉스+카니발+창림저상램프장애인차,11,1,063-536-9870,해당없음,,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,제한없음,습관적으로 예약을 취소한 사람 등,전라북도 정읍시,전라북도+장성군+광주광역시,1~2급 장애인+3급 휠체어이용자,(2km이내)1400원+(148m 또는 35초당)30원+시계외 할증20,전라북도 정읍시,063-539-5922,2022.2.9,4690000,전라북도 정읍시
익산시장애인콜택시콜센터,전라북도 익산시 번영로1길 20,전라북도 익산시 목천동 916-4,35.919194,126.9188748,21,승합,21,0,063-853-1334,해당없음,,9:00,18:00,9:00,18:00,9:00,22:00,9:00,18:00,1일,,전지역,전라북도 전지역,1-2급등록장애인휠체어이용자+동반보호자,기본운임(2km까지) 1400원,전라북도 익산시,063-859-5565,2022.3.8,4680000,전라북도 익산시
광양시 교통약자이동지원센터,전라남도 광양시 광양읍 남등1길 72-4,,34.9754338,127.5782601,10,카니발+스타렉스,8,2,1899-1100,해당없음,즉시콜,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,1일,,전라남도 전지역,전라남도 전지역,"장애의 정도가 심한 보행상의 장애인, 노약자, 임산부 등",기본 500원(2km)+거리요금100원(1km)* 상한액: 시내·시외버스 요금,전라남도 광양시청,061-797-2865,2022.2.10,4840000,전라남도 광양시
보령시도로교통과,,충청남도 보령시 명천동 1022,36.34508656,126.6010488,10,카니발,7,3,041-933-3517,해당없음,,8:00,19:00,9:00,18:00,8:00,21:00,9:00,21:00,없음,없음,보령시,서울+천안+익산,"보행상 장애인 중 심한장애인 및 일시적으로 보행이 어려운 자, 65세 이상 노인 중 보행이 어려운 자",기본요금 2km까지 1600원+이후요금 160m당 130원,충청남도 보령시청,041-930-3961,2022.4.6,4510000,충청남도 보령시
남해군교통약자이동지원센터,경상남도 남해군 남해읍 선소로75번길 87-22,경상남도 남해군 남해읍 차산리 639,34.84954976,127.9088757,7,스타렉스+카니발,2,5,1566-4488,해당없음,해당없음,7:00,22:00,8:00,19:00,7:00,22:00,8:00,19:00,없음,없음,남해군,경남전지역+부산,"기존 1~2급 장애인, 장애의 정도가 심한 보행상 장애인65세이상 고령자임산부일시적으로 휠체어 이용하는 자",(관내 기본요금) 2km까지 1000원 (관내 2km 초과 시) 기본요금 1000원 외 1km당 50원 추가+최대2000원+(관외) 시외버스요금 1.5배,경상남도 남해군청,055-860-3455,2022.3.29,5430000,경상남도 남해군
남양주시교통약자이동지원센터,경기도 남양주시 진건읍 진건오남로 50 덕성빌딩 3층,경기도 남양주시 진건읍 용정리 794-48 덕성빌딩 3층,37.655503,127.179231,57,올뉴카니발(슬로프형),57,0,1666-5525,http://dreamcall.nyj.go.kr/,경기도광역이동지원,9:00,21:00,7:00,16:00,0:00,23:59,0:00,23:59,2일전 : 병원+재활+통학(학교) 목적에 한함 1일전 : 일반목적,,전역,서울+경기+인천,보행상의 장애인으로서 장애의 정도가 심한 장애인+장애의 정도가 심하지 않은 장애인 중 휠체어 이용자+65세 이상으로 버스+지하철 이용이 어려운 휠체어 이용자 (진단서 등 증빙자료 사전 제출자에 한함)·통학목적(초·중·고등학교)으로 관내 및 인접지역 통행이 어려운 휠체어 이용자+국가유공자 상이등급 1~3급 중 휠체어 이용자+「장애인 복지법 시행규칙」 개정 전(‘19.7.1.) 제2조에 따른 장애인 1~2급+3~6급(휠체어이용자),(기본요금 관내) 시내버스 현금요금 동일 1500+(기본요금 관외) 직행좌석버스 현금요금 동일 2900+(초과요금 관내) 10km 초과 5km마다 100 (최대 700)+(초과요금 관외) 30km 초과 5km마다 100,경기도 남양주시청 철도교통과,031-590-4717,2022.3.1,3990000,경기도 남양주시
한국교통장애인협회 청도군지회,경상북도 청도군 청도읍 월곡2길 15,경상북도 청도군 청도읍 월곡리 300-12,35.62840732,128.7591562,3,슬로프형(카니발),3,0,1899-7770,http://www.brmcall.co.kr/,,9:00,18:00,0:00,0:00,8:00,20:00,8:00,20:00,"사전 및 당일 가능, 주말운행신청은 평일사전예약, 일요일 미운행",,관내전역,경북,중증장애인+고령자중거동불편+임산부,"2km까지 1,200원+2km초과 10km까지 1km당300원+10km초과 1km당100원",청도군 새마을괴,054-370-6252,2020.6.30,5190000,경상북도 청도군
(사)전남장애인총연합회 강진군지부,전라남도 강진군 강진읍 시장길 17-14,,34.64034375,126.7741157,2,승합,2,0,1899-1110,0,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7일,,,,"1급,2급장애인, 65세 이상 대중교통 이용불가자",예약접수전화로 문의,강진군청,061-430-3944,2021.2.22,4920000,전라남도 강진군
경북광역이동지원센터,경상북도 경산시 화랑로 13,,35.81721215,128.7682761,21,스타렉스+카니발,21,0,1899-7770,www.brmcall.co.kr,,10:00,18:00,10:00,17:00,0:00,23:59,0:00,23:59,2일전,,경산시 관내,경상북도+대구,"1급 또는 2급 장애인/중증+65세 이상으로 대중교통의 이용이 어렵고 하지에 장애가 있어 혼자 거동이 어려운 사람(진단서 첨부)+사고,질병등 휠체어 이용으로 대중교통이 어려운 사람 (진단서 첨부)",기본요금 5km까지 1100원+추가요금 1km당 200원+(한도요금 경산에서 대구 2200원),경산시청,053-810-5235,2021.6.14,5130000,경상북도 경산시
의정부시 시설관리공단 이동지원센터,경기도 의정부시 체육로 90,경기도 의정부시 녹양동 174-1,37.75793498,127.0316068,39,카니발,39,0,031-826-2515,https://www.siseol.or.kr/happycall,없음,7:00,22:00,7:00,22:00,0:00,23:59,0:00,23:59,2일,,,,장애의 정도가 심한 장애인으로 보행상 장애가 증명된 자 + 장애의 정도가 심한 장애인으로 보행상 장애가 없을시 대중교통 이용제약 여부와 제약기간이 표시된 유효기간 3개월 이내 전문의 진단서 제출 + 상이등급 1급 · 2급 + 장애인 등급제 개편전 1급 · 2급 장애인 중 의정부시 이동지원센터에 등록한 자,"10km이내 : 1,500원, 10km초과 5km당 100원",의정부시,031-828-4783,2021.6.2,3820000,경기도 의정부시
수원시교통약자이동지원센터,경기도 수원시 권선구 정조로 310,경기도 수원시 권선구 대황교동 253,37.23777723,127.018347,90,카니발+스타렉스,90,0,031-253-5525,https://www.suwonudc.co.kr/swcall/mainPage.do,,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,이용일 1일 전 부터 이용당일 2시간 전까지 (단 토일공휴일 및 월요일 예약은 전주 금요일부터 예약 가능),1일 4회(편도기준)  단 병원치료 목적에 한하여 왕복1회 추가,수원시 전체,서울+경기+인천,- 장애정도가 심한 장애인- 장애의 정도가 심하지 않은 장애인 중 종합병원에서 대중교통수단의 이용이 어렵다는 진단서를 제출한 사람- 65세 이상 장기요양인정 1급~3급에 해당하는 사람- 임산부로서 대중교통수단의 이용이 어렵다는 진단서를 제출한 사람- 상이등급 3급 이상에 해당하는 사람- 관내 병원에서 한 달 이상 입원중인 휠체어 이용자 중 입퇴원확인서와 휠체어 이용중이라는 진단서를 제출한 사람- 외국인,관내지역(수원)기본요금 1250원+관외지역 기본요금 1250원외 5Km당 100원  추가+고속도로(유료도로)통행료는 이용자 부담,수원시,031-228-3323,2021.6.2,3740000,경기도 수원시
단양군사회복지협의회,충청북도 단양군 단양읍 수변로83,충청북도 단양군 단양읍 별곡리 307,36.98284257,128.3707522,3,오텍그랜드스타렉스,3,0,043-422-1700,해당없음,,9:00,18:00,0:00,0:00,9:00,18:00,9:00,13:00,1일전,해당없음,단양군 전체,병원 이용시 제천+원주 등 관외 운행,만65세이상 고령자+장애의 정도가 심한 장애인+혼자서 외출과 이동이 곤란하다고 인정되는 자+교통약자를 동반하는 가족 및 보호자,(관내 기본거리 5km까지)1500원+(30km까지 추가)1km당 300원+(30km이후)추가 1km당 600원,충청북도 단양군청,043-420-2492,2022.4.8,4480000,충청북도 단양군
시흥시 교통약자이동지원센터(희망네바퀴),,경기도 시흥시 군자동 67-3,37.36380551,126.8067298,32,카니발,32,0,1522-3650,-,-,7:00,21:00,7:00,19:00,7:00,21:00,7:00,19:00,24시간 운영원칙+심야운행시 2일전 사전예약 필수,"다음 제한사항의 각 호에 해당할 경우 동기와 횟수 등을 참작하여 당일 이용제한 및 1개월의 범위 내에서 이용을 제한할 수 있다.+1. 휠체어 1대를 초과하여 승차를 요구할 경우(접었을 경우 2대 가능)+2. 휠체어 이용자 1인을 포함한 4인(비휠체어 이용시 3인) 초과 승차를 요구할 경우+3. 복지카드, 진단서 사본, 진료카드를 제시하지 않는 경우+4. 상담원 및 운전원의 정당한 요구 및 안내에 불응하는 경우+5. 상담원 및 운전원에게 욕설이나",시흥시 전지역,수도권 전지역,"다음 제한사항의 각 호에 해당할 경우 동기와 횟수 등을 참작하여 당일 이용제한 및 1개월의 범위 내에서 이용을 제한할 수 있다.+1. 휠체어 1대를 초과하여 승차를 요구할 경우(접었을 경우 2대 가능)+2. 휠체어 이용자 1인을 포함한 4인(비휠체어 이용시 3인) 초과 승차를 요구할 경우+3. 복지카드, 진단서 사본, 진료카드를 제시하지 않는 경우+4. 상담원 및 운전원의 정당한 요구 및 안내에 불응하는 경우+5. 상담원 및 운전원에게 욕설이나 폭행을 하는 경우+6. 이동지원센터 및 특별교통수단의 기물을 손괴한 경우+7. 특정 차량 및 운전자의 지정을 요구하는 경우+8. 음주 후 이용하는 경우+9. 차량 출발이나 차량 도착 후 이용을 취소한 경우+10. 화물 운송 등의 목적으로 이용하는 경우+11. 이용대상자가 아닌 사람을 부정하게 이용할 수 있도록 돕거나 방치한 경우","기본요금 1,200원(10Km)+ 5Km 초과당 100원 추가+고속도로(유료도로)통행료 및 주차료는 이용자 부담",시흥도시공사,031-488-6910,2021.6.1,4010000,경기도 시흥시
착한수레,경기도 안양시 동안구 평촌대로 389,경기도 안양시 동안구 비산동 1023,37.40629131,126.9487366,38,스타렉스+카니발,38,0,031-389-5200,해당없음,,8:00,18:00,9:00,18:00,6:00,22:00,7:00,20:00,1일전,당일취소 월3회 이상,안양+군포+의왕+과천,수도권전역,심한 장애인으로서 보행상 장애인  장기요양 1~5급(휠체어 등 이용자)  보행상 장애로 인해 휠체어를 이용하는 만65세 이상 노약자 -일시적 장애(깁스 등)  임산부(산모수첩 소지자),"관내 1,200원+관외 1,200원 외 1km당 100원",안양도시공사,031-389-5363,2021.11.12,3830000,경기도 안양시
전남지체장애인협회 영암군지회,전라남도 영암군 영암읍 영암로 1527,전라남도 영암군 영암읍 교동리 50-2,34.79496124,126.6969605,6,승합(중형),6,0,1899-1110,해당없음,,10:00,18:00,10:00,18:00,8:00,18:00,8:00,17:00,전일,,영암군,전라남도+광주,"「장애인복지법 시행규칙」제2조제1항에 따른 장애의 정도가 심한 장애인(「장애인복지법 시행규칙」제28조제1항에 따라 보건복지부장관이 정하는 보행상 장애가 있는 사람에 한한다)으로서 대중교통수단의 이용이 어려운 사람, 65세 이상으로서 대중교통수단의 이용이 어려운 사람임산부으로 대중교통수단의 이용이 어려운 사람일시적으로 휠체어를 이용하는 사람으로서 대중교통수단의 이용이 어려운 사람","기본요금(2Km) : 500원, 거리운임(1km) : 100원, 고속도료, 유료도로, 통행료 및 주차료 : 없음, 콜요금 : 없음, 할증요금 : 없음",전라남도 영암군청,061-470-2356,2021.11.5,4940000,전라남도 영암군
포항시교통약자이동지원센터,경상북도 포항시 남구 희망대로 810 포항종합운동장 167호,경상북도 포항시 남구 대도동 313-1번지 167호,36.008952,129.363876,30,카니발,33,0,1800-9300,http://phhpcall.phsisul.org/,동행콜,7:00,22:00,8:00,20:00,0:00,23:59,8:00,20:00,5일,,포항시,경상북도+대구광역시,장애정도가 심한 장애인으로서 대중교통 이용이 어려운 사람+65세 이상으로 대중교통 이용이 어려운 사람+일시적으로 휠체어를 이용하는 사람으로서 대중교통 이용이 어려운 사람,"관내(포항시내) 기본 5km 1,100원, 추가요금 200원/km, 한도 5,000원+관외(포항시외) 시외버스 요금의 2배(편도기준)+대기료 500원/30분(관외 병원진료 기본대기 2시간 허용)+유료도로비용 및 주차요금은 이용자 부담",포항시시설관리공단,054-280-9601,2021.11.11,5020000,경상북도 포항시
봄내콜이동지원센터,강원도 춘천시 동면 소양강로 304-11(장학리),강원도 춘천시 동면 장학리 464-1,37.91462782,127.7482765,25,카니발+K5,20,0,1544-2014,http://call.gwd.go.kr,강원도 광역 교통약자,9:00,18:00,9:00,18:00,0:00,24:00:00,0:00,24:00:00,병원목적(7일)+개인용무(1일),시설이용자는 환자의 상태에 따라 등록 및 이용제한,춘천시 전지역,강원도+서울+경기도,보행상의 장애인으로서 장애의정도가 심한 장애인+만65세이상 대중교통이용이 어려운 휠체어 이용 노인+일시적 휠체어 사용자,"4km 당 1,100원+1km 당 100원+고속도로(유료도료)통행료는 이용자부담(기초생활수급자는 면제)",강원도 춘천시청,033-250-4299,2020.12.16,4180000,강원도 춘천시
울릉택시협동조합,경상북도 울릉군 울릉읍 봉래길 250,,37.49693638,130.8971107,1,소렌토,1,0,054-791-2315,-,-,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,1일~7일전,주말사전예약필수,-,-,"장애인복지법 시행규칙 제2조제1항에 따른 장애인 1급 또는 2급 장애인으로서 대중교통의 이용이 어려운 사람, 일시적으로 휠체어를 이용하는 사람으로서 대중교통의 이용이 어려운 사람, 65세 이상으로 대중교통의 이용이 어려운 t람, 임산부로서 대중교통의 이용이 어려운 사람, 해당하는 교통약자를 동반하는 가족 및 보호자, 그 밖에 특별교통수단이 필요하다고 군수가 인정하는 사람",200,울릉군,054-790-6254,2020.12.31,5260000,경상북도 울릉군
광명시 교통약자이동지원센터,경기도 광명시 범안로 966,경기도 광명시 하안동 314번지,37.45727525,126.8723345,27,스타렉스 개조차+카니발 개조차,24,2,02-2610-2000,http://kmcar.gmuc.co.kr,,7:00,22:00,7:00,13:00,0:00,24:00:00,0:00,24:00:00,휠체어 이용고객 1일전비휠체어 당일예약,,광명시 전지역,구로구+금천구+양천구+영등포구+안양 관공서+시흥 관공서+안산 관공서+인천공항+김포공항+서울대형병원 16곳+부천 병원+안양 병원+ 시흥 병원+센터 반경 20km 이내 특수학교 및 대학교,"장애1,2급(뇌병변, 지적장애 3급)+장기요양등급 1~3급+일시적인 교통약자","관내지역 1,250원",광명도시공사,02-2610-2000,2020.12.14,3900000,경기도 광명시
오산시교통약자이동지원센터,경기도 오산시 경기동로 15,경기도 오산시 오산동 49,37.156843,127.0726163,17,그랜드 카니발+그랜드 스타렉스+모닝+올뉴카니발+더뉴카니발,15,0,031-378-7816,해당사항없음,해당사항없음,9:00,18:00,8:00,20:00,0:00,24:00:00,8:00,20:00,7일,예약시간 1시간 이내의 취소 변경(장소 및 시간)+예약시간부터 10분 이내 미탑승+차량동승 신청을 하지 않고 예약자 본인 외에 다른 사람과 차량을 탑승하는 경우+이용 신청일 현재 미납요금이 있는 경우+센터에 연락하지 않고 운전원에게 직접 연락하고 차량을 이용하는 경우(즉시 이용제한)+기타 차량 운행에 방해를 주는 경우(즉시 이용 제한)+상담원에게 성적 수치심을 줄수 있는 농담 인격모독 욕설을 하는 경우(즉시 이용 제한),오산시,서울시+경기도+인천공항,장애정도가 심한 장애에 해당하는 사람으로서 <보행상 장애 표준기준표>에 해당하는 사람+국가유공자 상이등급 3급 이상에 해당하는 사람+장기요양보험 수급자(1~3급)+대중교통이용이 어렵다는 진단서를 제출한 사람(상기 대상자를 제외한 장애인 또는 국가유공자+65세 이상+임산부+일시적으로 휠체어를 이용하거나 재활치료를 받는 사람),"관내: 1,300원+관외: 1,300원 + 1km당 100원씩 할증(유료도로 통행료+톨게이트 비용+유료주차장요금 등 현장에서 발생하는 비용은 고객부담)",경기도 오산시,031-8036-7717,2021.7.1,4000000,경기도 오산시
동두천시 교통약자(특별교통수단) 이동지원센터(동두천모범운전자회),경기도 동두천시 어등로58,경기도 동두천시 생연동 70-2,37.89864229,127.0691004,14,카니발+스타렉스+봉고3,12,2,031-862-1091,없음,,8:00,18:00,8:00,18:00,0:00,24:00:00,7:00,22:00,7일,,동두천시 전지역,수도권 전지역(병원진료 우선),「장애인복지법 시행규칙」 제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표 1에 따른 장애의 정도가 심한 장애인으로서 버스ㆍ지하철 등의 이용이 어려운 사람+만65세 이상으로 대중교통의 이용이 어려운 자+임산부로서 대중교통의 이용이 어려운 자+일시적으로 휠체어를 이용하는 자로서 대중교통수단의 이용이 어려운 자+제1호부터 제4호까지의 규정에 해당하는 교통약자를 동반하는 가족 및 보호자,관내 (1000원/회)+관외(1km당/100원),동두천시청 교통행정과,031-860-2290,2021.6.30,3920000,경기도 동두천시
전남지체장애인협회담양군지회,전라남도 담양군 담양읍 천변5길 63,,35.31476994,126.9766124,3,창림저상슬로프장애인차,3,0,061-381-3100,http://kappd-jn.or.kr,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7일,,,,1~2급+휠체어 이용자,관내지역 (2km까지) 기본요금 1400원,전라남도 담양군청,061-380-3055,2021.6.29,4850000,전라남도 담양군
